profile,actor,DD,DPS
apl_badge226_hm_na_1,Base,1255709,4339,
apl_badge226_hm_na_1,Base_am,1224075,4246,
apl_badge226_hm_na_1,on_cd_am,1223702,4245,
apl_badge226_hm_na_1,on_cd_am_trink_pi,1223375,4243,
apl_badge226_hm_na_1,on_cd_am_trink_pi_or_vf,1224246,4246,
apl_badge226_hm_na_1,on_cd_am_trink_vf,1223786,4245,
apl_badge226_hm_na_1,on_cd_hv,1255290,4338,
apl_badge226_hm_na_1,on_cd_hv_trink_pi,1255494,4338,
apl_badge226_hm_na_1,on_cd_hv_trink_pi_or_vf,1254944,4337,
apl_badge226_hm_na_1,on_cd_hv_trink_vf,1255889,4340,
apl_badge226_hm_na_1,pi_sync_am_trink_pi,1223836,4246,
apl_badge226_hm_na_1,pi_sync_am_trink_pi_or_vf,1223958,4245,
apl_badge226_hm_na_1,pi_sync_am_trink_vf,1223716,4245,
apl_badge226_hm_na_1,pi_sync_hv_trink_pi,1255817,4340,
apl_badge226_hm_na_1,pi_sync_hv_trink_pi_or_vf,1255519,4339,
apl_badge226_hm_na_1,pi_sync_hv_trink_vf,1255600,4339,
apl_badge226_hm_na_1,vf_sync_am,1224171,4247,
apl_badge226_hm_na_1,vf_sync_am_trink_pi,1223945,4246,
apl_badge226_hm_na_1,vf_sync_am_trink_pi_or_vf,1224151,4246,
apl_badge226_hm_na_1,vf_sync_am_trink_vf,1224153,4246,
apl_badge226_hm_na_1,vf_sync_hv,1223855,4246,
apl_badge226_hm_na_1,vf_sync_hv_trink_pi,1224070,4246,
apl_badge226_hm_na_1,vf_sync_hv_trink_pi_or_vf,1224280,4246,
apl_badge226_hm_na_1,vf_sync_hv_trink_vf,1223876,4245,
apl_badge226_hm_na_2,Base,1467570,5042,
apl_badge226_hm_na_2,Base_am,1407759,4853,
apl_badge226_hm_na_2,on_cd_am,1407727,4853,
apl_badge226_hm_na_2,on_cd_am_trink_pi,1408182,4855,
apl_badge226_hm_na_2,on_cd_am_trink_pi_or_vf,1408331,4855,
apl_badge226_hm_na_2,on_cd_am_trink_vf,1407946,4853,
apl_badge226_hm_na_2,on_cd_hv,1467279,5041,
apl_badge226_hm_na_2,on_cd_hv_trink_pi,1467348,5041,
apl_badge226_hm_na_2,on_cd_hv_trink_pi_or_vf,1468434,5045,
apl_badge226_hm_na_2,on_cd_hv_trink_vf,1468452,5045,
apl_badge226_hm_na_2,pi_sync_am_trink_pi,1408163,4855,
apl_badge226_hm_na_2,pi_sync_am_trink_pi_or_vf,1407893,4854,
apl_badge226_hm_na_2,pi_sync_am_trink_vf,1407885,4854,
apl_badge226_hm_na_2,pi_sync_hv_trink_pi,1468384,5045,
apl_badge226_hm_na_2,pi_sync_hv_trink_pi_or_vf,1467879,5043,
apl_badge226_hm_na_2,pi_sync_hv_trink_vf,1468455,5045,
apl_badge226_hm_na_2,vf_sync_am,1407608,4852,
apl_badge226_hm_na_2,vf_sync_am_trink_pi,1407901,4853,
apl_badge226_hm_na_2,vf_sync_am_trink_pi_or_vf,1408330,4855,
apl_badge226_hm_na_2,vf_sync_am_trink_vf,1407889,4854,
apl_badge226_hm_na_2,vf_sync_hv,1407689,4853,
apl_badge226_hm_na_2,vf_sync_hv_trink_pi,1408085,4854,
apl_badge226_hm_na_2,vf_sync_hv_trink_pi_or_vf,1408394,4855,
apl_badge226_hm_na_2,vf_sync_hv_trink_vf,1408412,4855,
apl_badge226_lm_ba_2,Base,1696780,5803,
apl_badge226_lm_ba_2,Base_am,1645446,5646,
apl_badge226_lm_ba_2,on_cd_am,1645434,5646,
apl_badge226_lm_ba_2,on_cd_am_trink_pi,1645150,5644,
apl_badge226_lm_ba_2,on_cd_am_trink_pi_or_vf,1645330,5645,
apl_badge226_lm_ba_2,on_cd_am_trink_vf,1645273,5645,
apl_badge226_lm_ba_2,on_cd_hv,1696523,5803,
apl_badge226_lm_ba_2,on_cd_hv_trink_pi,1696552,5804,
apl_badge226_lm_ba_2,on_cd_hv_trink_pi_or_vf,1696155,5803,
apl_badge226_lm_ba_2,on_cd_hv_trink_vf,1697129,5805,
apl_badge226_lm_ba_2,pi_sync_am_trink_pi,1645837,5647,
apl_badge226_lm_ba_2,pi_sync_am_trink_pi_or_vf,1645232,5644,
apl_badge226_lm_ba_2,pi_sync_am_trink_vf,1645444,5645,
apl_badge226_lm_ba_2,pi_sync_hv_trink_pi,1697187,5806,
apl_badge226_lm_ba_2,pi_sync_hv_trink_pi_or_vf,1697308,5806,
apl_badge226_lm_ba_2,pi_sync_hv_trink_vf,1696785,5804,
apl_badge226_lm_ba_2,vf_sync_am,1645707,5646,
apl_badge226_lm_ba_2,vf_sync_am_trink_pi,1645342,5645,
apl_badge226_lm_ba_2,vf_sync_am_trink_pi_or_vf,1645011,5644,
apl_badge226_lm_ba_2,vf_sync_am_trink_vf,1644919,5644,
apl_badge226_lm_ba_2,vf_sync_hv,1645076,5645,
apl_badge226_lm_ba_2,vf_sync_hv_trink_pi,1644695,5643,
apl_badge226_lm_ba_2,vf_sync_hv_trink_pi_or_vf,1645099,5644,
apl_badge226_lm_ba_2,vf_sync_hv_trink_vf,1644949,5644,
apl_badge226_lm_na_1,Base,1418109,4880,
apl_badge226_lm_na_1,Base_am,1378599,4761,
apl_badge226_lm_na_1,on_cd_am,1379144,4762,
