profile,actor,DD,DPS
apl_justbadge_hm_na_1,Base,1255244,4338,
apl_justbadge_hm_na_1,Base_am,1223293,4243,
apl_justbadge_hm_na_1,on_cd_am,1243754,4318,
apl_justbadge_hm_na_1,on_cd_hv,1271308,4398,
apl_justbadge_hm_na_1,vf_sync_am,1229207,4265,
apl_justbadge_hm_na_1,vf_sync_hv,1228388,4263,
apl_justbadge_hm_na_2,Base,1468501,5045,
apl_justbadge_hm_na_2,Base_am,1408115,4854,
apl_justbadge_hm_na_2,on_cd_am,1440465,4976,
apl_justbadge_hm_na_2,on_cd_hv,1480112,5095,
apl_justbadge_hm_na_2,vf_sync_am,1416935,4888,
apl_justbadge_hm_na_2,vf_sync_hv,1416356,4886,
apl_justbadge_lm_ba_2,Base,1697173,5805,
apl_justbadge_lm_ba_2,Base_am,1645094,5645,
apl_justbadge_lm_ba_2,on_cd_am,1674712,5758,
apl_justbadge_lm_ba_2,on_cd_hv,1722841,5903,
apl_justbadge_lm_ba_2,vf_sync_am,1664364,5719,
apl_justbadge_lm_ba_2,vf_sync_hv,1665251,5722,
apl_justbadge_lm_na_1,Base,1418128,4880,
apl_justbadge_lm_na_1,Base_am,1378671,4760,
apl_justbadge_lm_na_1,on_cd_am,1404314,4856,
apl_justbadge_lm_na_1,on_cd_hv,1436285,4946,
apl_justbadge_lm_na_1,vf_sync_am,1382393,4781,
apl_justbadge_lm_na_1,vf_sync_hv,1382432,4782,
apl_justbadge_lm_na_2,Base,1628615,5577,
apl_justbadge_lm_na_2,Base_am,1579665,5425,
apl_justbadge_lm_na_2,on_cd_am,1603166,5520,
apl_justbadge_lm_na_2,on_cd_hv,1650221,5661,
apl_justbadge_lm_na_2,vf_sync_am,1587232,5462,
apl_justbadge_lm_na_2,vf_sync_hv,1587531,5462,
apl_justbadge_lm_sa_1,Base,1429536,4917,
apl_justbadge_lm_sa_1,Base_am,1391511,4802,
apl_justbadge_lm_sa_1,on_cd_am,1430384,4942,
apl_justbadge_lm_sa_1,on_cd_hv,1460991,5029,
apl_justbadge_lm_sa_1,vf_sync_am,1405607,4859,
apl_justbadge_lm_sa_1,vf_sync_hv,1405424,4858,
apl_justbadge_lm_sa_2,Base,1631886,5589,
apl_justbadge_lm_sa_2,Base_am,1617978,5554,
apl_justbadge_lm_sa_2,on_cd_am,1656435,5700,
apl_justbadge_lm_sa_2,on_cd_hv,1700124,5829,
apl_justbadge_lm_sa_2,vf_sync_am,1640229,5641,
apl_justbadge_lm_sa_2,vf_sync_hv,1639886,5641,
apl_justbadge_pw_ba_1,Base,1460424,5022,
apl_justbadge_pw_ba_1,Base_am,1434089,4948,
apl_justbadge_pw_ba_1,on_cd_am,1457871,5039,
apl_justbadge_pw_ba_1,on_cd_hv,1473421,5072,
apl_justbadge_pw_ba_1,vf_sync_am,1434036,4961,
apl_justbadge_pw_ba_1,vf_sync_hv,1435229,4966,
apl_justbadge_pw_ba_2,Base,1674607,5733,
apl_justbadge_pw_ba_2,Base_am,1637666,5623,
apl_justbadge_pw_ba_2,on_cd_am,1649586,5679,
apl_justbadge_pw_ba_2,on_cd_hv,1690881,5799,
apl_justbadge_pw_ba_2,vf_sync_am,1636610,5633,
apl_justbadge_pw_ba_2,vf_sync_hv,1635302,5629,
apl_justbadge_pw_na_1,Base,1460040,5022,
apl_justbadge_pw_na_1,Base_am,1433928,4948,
apl_justbadge_pw_na_1,on_cd_am,1458110,5040,
apl_justbadge_pw_na_1,on_cd_hv,1473266,5071,
apl_justbadge_pw_na_1,vf_sync_am,1434338,4963,
apl_justbadge_pw_na_1,vf_sync_hv,1434547,4963,
apl_justbadge_pw_na_2,Base,1674948,5733,
apl_justbadge_pw_na_2,Base_am,1637900,5624,
apl_justbadge_pw_na_2,on_cd_am,1649943,5680,
apl_justbadge_pw_na_2,on_cd_hv,1691096,5799,
apl_justbadge_pw_na_2,vf_sync_am,1636327,5632,
apl_justbadge_pw_na_2,vf_sync_hv,1635434,5629,
apl_justbadge_pw_sa_1,Base,1459490,5021,
apl_justbadge_pw_sa_1,Base_am,1433720,4947,
apl_justbadge_pw_sa_1,on_cd_am,1458046,5040,
apl_justbadge_pw_sa_1,on_cd_hv,1473078,5071,
apl_justbadge_pw_sa_1,vf_sync_am,1434395,4962,
apl_justbadge_pw_sa_1,vf_sync_hv,1434491,4963,
apl_justbadge_pw_sa_2,Base,1674524,5733,
apl_justbadge_pw_sa_2,Base_am,1638390,5625,
apl_justbadge_pw_sa_2,on_cd_am,1650140,5681,
apl_justbadge_pw_sa_2,on_cd_hv,1691666,5802,
apl_justbadge_pw_sa_2,vf_sync_am,1636541,5633,
apl_justbadge_pw_sa_2,vf_sync_hv,1635672,5631,

