profile,actor,DD,DPS
apl_ordnance226_hm_na_1,Base,1176405,4044,
apl_ordnance226_hm_na_1,Base_am,1142872,3943,
apl_ordnance226_hm_na_1,on_cd_am,1142824,3942,
apl_ordnance226_hm_na_1,on_cd_am_trink_pi,1142709,3942,
apl_ordnance226_hm_na_1,on_cd_am_trink_pi_or_vf,1143523,3945,
apl_ordnance226_hm_na_1,on_cd_am_trink_vf,1143056,3943,
apl_ordnance226_hm_na_1,on_cd_hv,1176514,4045,
apl_ordnance226_hm_na_1,on_cd_hv_trink_pi,1175833,4043,
apl_ordnance226_hm_na_1,on_cd_hv_trink_pi_or_vf,1176765,4046,
apl_ordnance226_hm_na_1,on_cd_hv_trink_vf,1176075,4044,
apl_ordnance226_hm_na_1,pi_sync_am_trink_pi,1143163,3944,
apl_ordnance226_hm_na_1,pi_sync_am_trink_pi_or_vf,1143655,3946,
apl_ordnance226_hm_na_1,pi_sync_am_trink_vf,1143137,3943,
apl_ordnance226_hm_na_1,pi_sync_hv_trink_pi,1176212,4044,
apl_ordnance226_hm_na_1,pi_sync_hv_trink_pi_or_vf,1176448,4045,
apl_ordnance226_hm_na_1,pi_sync_hv_trink_vf,1176158,4044,
apl_ordnance226_hm_na_1,vf_sync_am,1142697,3942,
apl_ordnance226_hm_na_1,vf_sync_am_trink_pi,1143534,3945,
apl_ordnance226_hm_na_1,vf_sync_am_trink_pi_or_vf,1142700,3942,
apl_ordnance226_hm_na_1,vf_sync_am_trink_vf,1143045,3943,
apl_ordnance226_hm_na_1,vf_sync_hv,1143680,3946,
apl_ordnance226_hm_na_1,vf_sync_hv_trink_pi,1143045,3943,
apl_ordnance226_hm_na_1,vf_sync_hv_trink_pi_or_vf,1143068,3943,
apl_ordnance226_hm_na_1,vf_sync_hv_trink_vf,1143260,3944,
apl_ordnance226_hm_na_2,Base,1375177,4706,
apl_ordnance226_hm_na_2,Base_am,1313284,4509,
apl_ordnance226_hm_na_2,on_cd_am,1312508,4506,
apl_ordnance226_hm_na_2,on_cd_am_trink_pi,1313024,4507,
apl_ordnance226_hm_na_2,on_cd_am_trink_pi_or_vf,1312887,4508,
apl_ordnance226_hm_na_2,on_cd_am_trink_vf,1312760,4507,
apl_ordnance226_hm_na_2,on_cd_hv,1375086,4706,
apl_ordnance226_hm_na_2,on_cd_hv_trink_pi,1375607,4708,
apl_ordnance226_hm_na_2,on_cd_hv_trink_pi_or_vf,1375782,4708,
apl_ordnance226_hm_na_2,on_cd_hv_trink_vf,1375209,4706,
apl_ordnance226_hm_na_2,pi_sync_am_trink_pi,1312458,4506,
apl_ordnance226_hm_na_2,pi_sync_am_trink_pi_or_vf,1312813,4508,
apl_ordnance226_hm_na_2,pi_sync_am_trink_vf,1312309,4505,
apl_ordnance226_hm_na_2,pi_sync_hv_trink_pi,1375533,4708,
apl_ordnance226_hm_na_2,pi_sync_hv_trink_pi_or_vf,1375562,4708,
apl_ordnance226_hm_na_2,pi_sync_hv_trink_vf,1375938,4709,
apl_ordnance226_hm_na_2,vf_sync_am,1312847,4508,
apl_ordnance226_hm_na_2,vf_sync_am_trink_pi,1313010,4508,
apl_ordnance226_hm_na_2,vf_sync_am_trink_pi_or_vf,1312550,4507,
apl_ordnance226_hm_na_2,vf_sync_am_trink_vf,1313156,4509,
apl_ordnance226_hm_na_2,vf_sync_hv,1312718,4507,
apl_ordnance226_hm_na_2,vf_sync_hv_trink_pi,1312441,4505,
apl_ordnance226_hm_na_2,vf_sync_hv_trink_pi_or_vf,1313030,4508,
apl_ordnance226_hm_na_2,vf_sync_hv_trink_vf,1312341,4506,
apl_ordnance226_lm_ba_2,Base,1588485,5416,
apl_ordnance226_lm_ba_2,Base_am,1538628,5260,
apl_ordnance226_lm_ba_2,on_cd_am,1538670,5260,
apl_ordnance226_lm_ba_2,on_cd_am_trink_pi,1539251,5262,
apl_ordnance226_lm_ba_2,on_cd_am_trink_pi_or_vf,1538791,5260,
apl_ordnance226_lm_ba_2,on_cd_am_trink_vf,1538974,5261,
apl_ordnance226_lm_ba_2,on_cd_hv,1587747,5414,
apl_ordnance226_lm_ba_2,on_cd_hv_trink_pi,1588613,5417,
apl_ordnance226_lm_ba_2,on_cd_hv_trink_pi_or_vf,1588731,5417,
apl_ordnance226_lm_ba_2,on_cd_hv_trink_vf,1587745,5414,
apl_ordnance226_lm_ba_2,pi_sync_am_trink_pi,1538939,5261,
apl_ordnance226_lm_ba_2,pi_sync_am_trink_pi_or_vf,1539082,5262,
apl_ordnance226_lm_ba_2,pi_sync_am_trink_vf,1538780,5261,
apl_ordnance226_lm_ba_2,pi_sync_hv_trink_pi,1588507,5416,
apl_ordnance226_lm_ba_2,pi_sync_hv_trink_pi_or_vf,1588335,5416,
apl_ordnance226_lm_ba_2,pi_sync_hv_trink_vf,1588310,5416,
apl_ordnance226_lm_ba_2,vf_sync_am,1538721,5260,
apl_ordnance226_lm_ba_2,vf_sync_am_trink_pi,1538544,5259,
apl_ordnance226_lm_ba_2,vf_sync_am_trink_pi_or_vf,1539266,5262,
apl_ordnance226_lm_ba_2,vf_sync_am_trink_vf,1538690,5260,
apl_ordnance226_lm_ba_2,vf_sync_hv,1539189,5262,
