profile,actor,DD,DPS
apl_sheet226_hm_na_1,Base,1237971,4265,
apl_sheet226_hm_na_1,Base_am,1199927,4150,
apl_sheet226_hm_na_1,on_cd_am,1200224,4151,
apl_sheet226_hm_na_1,on_cd_am_trink_pi,1200052,4150,
apl_sheet226_hm_na_1,on_cd_am_trink_pi_or_vf,1199893,4150,
apl_sheet226_hm_na_1,on_cd_am_trink_vf,1200935,4153,
apl_sheet226_hm_na_1,on_cd_hv,1238127,4266,
apl_sheet226_hm_na_1,on_cd_hv_trink_pi,1238363,4267,
apl_sheet226_hm_na_1,on_cd_hv_trink_pi_or_vf,1238290,4266,
apl_sheet226_hm_na_1,on_cd_hv_trink_vf,1237594,4264,
apl_sheet226_hm_na_1,pi_sync_am_trink_pi,1199349,4147,
apl_sheet226_hm_na_1,pi_sync_am_trink_pi_or_vf,1200288,4150,
apl_sheet226_hm_na_1,pi_sync_am_trink_vf,1200494,4152,
apl_sheet226_hm_na_1,pi_sync_hv_trink_pi,1237689,4264,
apl_sheet226_hm_na_1,pi_sync_hv_trink_pi_or_vf,1238427,4267,
apl_sheet226_hm_na_1,pi_sync_hv_trink_vf,1237860,4264,
apl_sheet226_hm_na_1,vf_sync_am,1200421,4151,
apl_sheet226_hm_na_1,vf_sync_am_trink_pi,1200372,4151,
apl_sheet226_hm_na_1,vf_sync_am_trink_pi_or_vf,1200107,4150,
apl_sheet226_hm_na_1,vf_sync_am_trink_vf,1200057,4150,
apl_sheet226_hm_na_1,vf_sync_hv,1200235,4150,
apl_sheet226_hm_na_1,vf_sync_hv_trink_pi,1200027,4150,
apl_sheet226_hm_na_1,vf_sync_hv_trink_pi_or_vf,1199920,4149,
apl_sheet226_hm_na_1,vf_sync_hv_trink_vf,1199797,4149,
apl_sheet226_hm_na_2,Base,1450840,4974,
apl_sheet226_hm_na_2,Base_am,1380469,4751,
apl_sheet226_hm_na_2,on_cd_am,1381134,4753,
apl_sheet226_hm_na_2,on_cd_am_trink_pi,1380473,4751,
apl_sheet226_hm_na_2,on_cd_am_trink_pi_or_vf,1381679,4755,
apl_sheet226_hm_na_2,on_cd_am_trink_vf,1380740,4751,
apl_sheet226_hm_na_2,on_cd_hv,1451243,4975,
apl_sheet226_hm_na_2,on_cd_hv_trink_pi,1450724,4974,
apl_sheet226_hm_na_2,on_cd_hv_trink_pi_or_vf,1450900,4974,
apl_sheet226_hm_na_2,on_cd_hv_trink_vf,1451405,4976,
apl_sheet226_hm_na_2,pi_sync_am_trink_pi,1380517,4751,
apl_sheet226_hm_na_2,pi_sync_am_trink_pi_or_vf,1380760,4752,
apl_sheet226_hm_na_2,pi_sync_am_trink_vf,1380956,4752,
apl_sheet226_hm_na_2,pi_sync_hv_trink_pi,1450844,4974,
apl_sheet226_hm_na_2,pi_sync_hv_trink_pi_or_vf,1450802,4974,
apl_sheet226_hm_na_2,pi_sync_hv_trink_vf,1451322,4975,
apl_sheet226_hm_na_2,vf_sync_am,1380535,4751,
apl_sheet226_hm_na_2,vf_sync_am_trink_pi,1380138,4750,
apl_sheet226_hm_na_2,vf_sync_am_trink_pi_or_vf,1380766,4752,
apl_sheet226_hm_na_2,vf_sync_am_trink_vf,1381361,4753,
apl_sheet226_hm_na_2,vf_sync_hv,1381038,4753,
apl_sheet226_hm_na_2,vf_sync_hv_trink_pi,1381181,4753,
apl_sheet226_hm_na_2,vf_sync_hv_trink_pi_or_vf,1381354,4754,
apl_sheet226_hm_na_2,vf_sync_hv_trink_vf,1380702,4751,
apl_sheet226_lm_ba_2,Base,1666478,5691,
apl_sheet226_lm_ba_2,Base_am,1616239,5535,
apl_sheet226_lm_ba_2,on_cd_am,1616244,5535,
apl_sheet226_lm_ba_2,on_cd_am_trink_pi,1616055,5535,
apl_sheet226_lm_ba_2,on_cd_am_trink_pi_or_vf,1616290,5536,
apl_sheet226_lm_ba_2,on_cd_am_trink_vf,1616363,5536,
apl_sheet226_lm_ba_2,on_cd_hv,1666431,5691,
apl_sheet226_lm_ba_2,on_cd_hv_trink_pi,1665389,5687,
apl_sheet226_lm_ba_2,on_cd_hv_trink_pi_or_vf,1665881,5689,
apl_sheet226_lm_ba_2,on_cd_hv_trink_vf,1665665,5688,
apl_sheet226_lm_ba_2,pi_sync_am_trink_pi,1616121,5536,
apl_sheet226_lm_ba_2,pi_sync_am_trink_pi_or_vf,1616412,5536,
apl_sheet226_lm_ba_2,pi_sync_am_trink_vf,1616086,5535,
apl_sheet226_lm_ba_2,pi_sync_hv_trink_pi,1665278,5687,
apl_sheet226_lm_ba_2,pi_sync_hv_trink_pi_or_vf,1666479,5691,
