profile,actor,DD,DPS
apl_justsheet_hm_na_1,Base,1238058,4265,
apl_justsheet_hm_na_1,Base_am,1200532,4152,
apl_justsheet_hm_na_1,on_cd_am,1212624,4199,
apl_justsheet_hm_na_1,on_cd_hv,1247691,4303,
apl_justsheet_hm_na_1,vf_sync_am,1205042,4171,
apl_justsheet_hm_na_1,vf_sync_hv,1204390,4169,
apl_justsheet_hm_na_2,Base,1450618,4974,
apl_justsheet_hm_na_2,Base_am,1380910,4752,
apl_justsheet_hm_na_2,on_cd_am,1392964,4798,
apl_justsheet_hm_na_2,on_cd_hv,1431497,4914,
apl_justsheet_hm_na_2,vf_sync_am,1393893,4801,
apl_justsheet_hm_na_2,vf_sync_hv,1393252,4797,
apl_justsheet_lm_ba_2,Base,1666495,5692,
apl_justsheet_lm_ba_2,Base_am,1616059,5535,
apl_justsheet_lm_ba_2,on_cd_am,1653680,5669,
apl_justsheet_lm_ba_2,on_cd_hv,1694104,5789,
apl_justsheet_lm_ba_2,vf_sync_am,1649366,5656,
apl_justsheet_lm_ba_2,vf_sync_hv,1648874,5655,
apl_justsheet_lm_na_1,Base,1389931,4770,
apl_justsheet_lm_na_1,Base_am,1347665,4641,
apl_justsheet_lm_na_1,on_cd_am,1371723,4730,
apl_justsheet_lm_na_1,on_cd_hv,1406079,4829,
apl_justsheet_lm_na_1,vf_sync_am,1360034,4692,
apl_justsheet_lm_na_1,vf_sync_hv,1360145,4692,
apl_justsheet_lm_na_2,Base,1598615,5465,
apl_justsheet_lm_na_2,Base_am,1546347,5302,
apl_justsheet_lm_na_2,on_cd_am,1569569,5389,
apl_justsheet_lm_na_2,on_cd_hv,1615814,5529,
apl_justsheet_lm_na_2,vf_sync_am,1561170,5363,
apl_justsheet_lm_na_2,vf_sync_hv,1560827,5363,
apl_justsheet_lm_sa_1,Base,1401587,4810,
apl_justsheet_lm_sa_1,Base_am,1361306,4686,
apl_justsheet_lm_sa_1,on_cd_am,1398676,4820,
apl_justsheet_lm_sa_1,on_cd_hv,1435052,4927,
apl_justsheet_lm_sa_1,vf_sync_am,1384067,4772,
apl_justsheet_lm_sa_1,vf_sync_hv,1384578,4773,
apl_justsheet_lm_sa_2,Base,1603294,5483,
apl_justsheet_lm_sa_2,Base_am,1586284,5437,
apl_justsheet_lm_sa_2,on_cd_am,1626214,5580,
apl_justsheet_lm_sa_2,on_cd_hv,1673073,5721,
apl_justsheet_lm_sa_2,vf_sync_am,1618793,5558,
apl_justsheet_lm_sa_2,vf_sync_hv,1618325,5557,
apl_justsheet_pw_ba_1,Base,1429899,4906,
apl_justsheet_pw_ba_1,Base_am,1395781,4805,
apl_justsheet_pw_ba_1,on_cd_am,1420214,4896,
apl_justsheet_pw_ba_1,on_cd_hv,1443774,4957,
apl_justsheet_pw_ba_1,vf_sync_am,1406196,4853,
apl_justsheet_pw_ba_1,vf_sync_hv,1405564,4851,
apl_justsheet_pw_ba_2,Base,1641722,5612,
apl_justsheet_pw_ba_2,Base_am,1594151,5466,
apl_justsheet_pw_ba_2,on_cd_am,1614598,5544,
apl_justsheet_pw_ba_2,on_cd_hv,1658529,5673,
apl_justsheet_pw_ba_2,vf_sync_am,1607968,5526,
apl_justsheet_pw_ba_2,vf_sync_hv,1607612,5526,
apl_justsheet_pw_na_1,Base,1430045,4906,
apl_justsheet_pw_na_1,Base_am,1395435,4803,
apl_justsheet_pw_na_1,on_cd_am,1420247,4896,
apl_justsheet_pw_na_1,on_cd_hv,1444407,4959,
apl_justsheet_pw_na_1,vf_sync_am,1405391,4851,
apl_justsheet_pw_na_1,vf_sync_hv,1405329,4851,
apl_justsheet_pw_na_2,Base,1642216,5613,
apl_justsheet_pw_na_2,Base_am,1593652,5464,
apl_justsheet_pw_na_2,on_cd_am,1614264,5542,
apl_justsheet_pw_na_2,on_cd_hv,1657927,5671,
apl_justsheet_pw_na_2,vf_sync_am,1607613,5525,
apl_justsheet_pw_na_2,vf_sync_hv,1608160,5527,
apl_justsheet_pw_sa_1,Base,1430329,4907,
apl_justsheet_pw_sa_1,Base_am,1396042,4806,
apl_justsheet_pw_sa_1,on_cd_am,1420132,4895,
apl_justsheet_pw_sa_1,on_cd_hv,1443709,4957,
apl_justsheet_pw_sa_1,vf_sync_am,1405702,4852,
apl_justsheet_pw_sa_1,vf_sync_hv,1405582,4851,
apl_justsheet_pw_sa_2,Base,1641872,5612,
apl_justsheet_pw_sa_2,Base_am,1593594,5464,
apl_justsheet_pw_sa_2,on_cd_am,1614263,5542,
apl_justsheet_pw_sa_2,on_cd_hv,1658035,5672,
apl_justsheet_pw_sa_2,vf_sync_am,1608008,5527,
apl_justsheet_pw_sa_2,vf_sync_hv,1608251,5527,

