profile,actor,DPS,increase,
Composite,pi_sync_hv_trink_pi_or_vf,5235,0.01%,
Composite,on_cd_hv_trink_pi,5235,0.01%,
Composite,on_cd_hv,5235,0.01%,
Composite,on_cd_hv_trink_pi_or_vf,5234,0.00%,
Composite,pi_sync_hv_trink_vf,5234,0.00%,
Composite,pi_sync_hv_trink_pi,5234,0.00%,
Composite,Base,5234,0.00%,
Composite,on_cd_hv_trink_vf,5234,-0.01%,
Composite,on_cd_am,5137,-1.87%,
Composite,pi_sync_am_trink_pi,5136,-1.87%,
Composite,vf_sync_am_trink_pi_or_vf,5136,-1.87%,
Composite,pi_sync_am_trink_vf,5136,-1.87%,
Composite,vf_sync_hv_trink_pi,5136,-1.87%,
Composite,vf_sync_am,5136,-1.87%,
Composite,vf_sync_hv,5136,-1.87%,
Composite,vf_sync_am_trink_pi,5136,-1.88%,
Composite,vf_sync_hv_trink_pi_or_vf,5136,-1.88%,
Composite,pi_sync_am_trink_pi_or_vf,5136,-1.88%,
Composite,Base_am,5136,-1.88%,
Composite,on_cd_am_trink_vf,5136,-1.88%,
Composite,on_cd_am_trink_pi_or_vf,5136,-1.88%,
Composite,vf_sync_hv_trink_vf,5136,-1.88%,
Composite,vf_sync_am_trink_vf,5135,-1.89%,
Composite,on_cd_am_trink_pi,5135,-1.89%,
