profile,actor,DPS,increase,
Single,on_cd_hv_trink_pi,4905,0.01%,
Single,pi_sync_hv_trink_pi_or_vf,4905,0.01%,
Single,pi_sync_hv_trink_vf,4905,0.01%,
Single,on_cd_hv,4904,0.00%,
Single,Base,4904,0.00%,
Single,on_cd_hv_trink_pi_or_vf,4904,0.00%,
Single,on_cd_hv_trink_vf,4904,0.00%,
Single,pi_sync_hv_trink_pi,4904,-0.01%,
Single,vf_sync_hv,4814,-1.85%,
Single,vf_sync_am,4813,-1.85%,
Single,pi_sync_am_trink_pi,4813,-1.86%,
Single,vf_sync_am_trink_pi_or_vf,4813,-1.86%,
Single,on_cd_am,4813,-1.86%,
Single,Base_am,4813,-1.86%,
Single,vf_sync_am_trink_pi,4813,-1.86%,
Single,vf_sync_hv_trink_pi,4813,-1.86%,
Single,pi_sync_am_trink_vf,4813,-1.87%,
Single,on_cd_am_trink_pi_or_vf,4813,-1.87%,
Single,pi_sync_am_trink_pi_or_vf,4813,-1.87%,
Single,vf_sync_hv_trink_pi_or_vf,4812,-1.87%,
Single,on_cd_am_trink_vf,4812,-1.87%,
Single,vf_sync_am_trink_vf,4812,-1.88%,
Single,vf_sync_hv_trink_vf,4812,-1.88%,
Single,on_cd_am_trink_pi,4812,-1.89%,
