profile,actor,DPS,increase,
Composite,on_cd_hv_trink_pi_or_vf,4868,0.01%,
Composite,pi_sync_hv_trink_vf,4868,0.01%,
Composite,on_cd_hv_trink_pi,4868,0.00%,
Composite,on_cd_hv,4868,0.00%,
Composite,pi_sync_hv_trink_pi_or_vf,4868,0.00%,
Composite,Base,4867,0.00%,
Composite,on_cd_hv_trink_vf,4867,0.00%,
Composite,pi_sync_hv_trink_pi,4867,0.00%,
Composite,vf_sync_hv,4761,-2.19%,
Composite,on_cd_am_trink_pi_or_vf,4761,-2.19%,
Composite,on_cd_am_trink_pi,4761,-2.20%,
Composite,pi_sync_am_trink_pi_or_vf,4761,-2.20%,
Composite,pi_sync_am_trink_pi,4760,-2.20%,
Composite,vf_sync_hv_trink_pi,4760,-2.20%,
Composite,on_cd_am_trink_vf,4760,-2.20%,
Composite,Base_am,4760,-2.20%,
Composite,pi_sync_am_trink_vf,4760,-2.20%,
Composite,vf_sync_am_trink_vf,4760,-2.20%,
Composite,vf_sync_am_trink_pi_or_vf,4760,-2.20%,
Composite,vf_sync_am,4760,-2.20%,
Composite,on_cd_am,4760,-2.21%,
Composite,vf_sync_am_trink_pi,4760,-2.21%,
Composite,vf_sync_hv_trink_pi_or_vf,4760,-2.21%,
Composite,vf_sync_hv_trink_vf,4760,-2.22%,
