profile,actor,DPS,increase,
Single,on_cd_hv_trink_pi,4560,0.01%,
Single,on_cd_hv_trink_pi_or_vf,4560,0.01%,
Single,on_cd_hv,4560,0.00%,
Single,Base,4560,0.00%,
Single,on_cd_hv_trink_vf,4560,0.00%,
Single,pi_sync_hv_trink_vf,4560,0.00%,
Single,pi_sync_hv_trink_pi_or_vf,4559,-0.01%,
Single,pi_sync_hv_trink_pi,4559,-0.02%,
Single,vf_sync_hv,4463,-2.13%,
Single,pi_sync_am_trink_pi_or_vf,4462,-2.14%,
Single,on_cd_am_trink_pi_or_vf,4462,-2.14%,
Single,vf_sync_am_trink_pi,4462,-2.15%,
Single,on_cd_am_trink_pi,4461,-2.15%,
Single,on_cd_am,4461,-2.16%,
Single,pi_sync_am_trink_pi,4461,-2.16%,
Single,on_cd_am_trink_vf,4461,-2.16%,
Single,pi_sync_am_trink_vf,4461,-2.16%,
Single,vf_sync_am,4461,-2.16%,
Single,Base_am,4461,-2.16%,
Single,vf_sync_am_trink_vf,4461,-2.16%,
Single,vf_sync_hv_trink_pi,4461,-2.16%,
Single,vf_sync_am_trink_pi_or_vf,4461,-2.17%,
Single,vf_sync_hv_trink_vf,4460,-2.18%,
Single,vf_sync_hv_trink_pi_or_vf,4460,-2.18%,
