profile,actor,DPS,increase,
Composite,on_cd_hv,4972,0.01%,
Composite,on_cd_hv_trink_pi_or_vf,4972,0.01%,
Composite,pi_sync_hv_trink_pi,4972,0.00%,
Composite,Base,4972,0.00%,
Composite,pi_sync_hv_trink_pi_or_vf,4972,0.00%,
Composite,on_cd_hv_trink_pi,4972,0.00%,
Composite,on_cd_hv_trink_vf,4971,-0.01%,
Composite,pi_sync_hv_trink_vf,4971,-0.01%,
Composite,on_cd_am,4864,-2.17%,
Composite,vf_sync_hv_trink_vf,4864,-2.17%,
Composite,vf_sync_am_trink_pi_or_vf,4864,-2.17%,
Composite,pi_sync_am_trink_pi,4864,-2.17%,
Composite,vf_sync_hv_trink_pi_or_vf,4864,-2.18%,
Composite,vf_sync_hv,4863,-2.18%,
Composite,vf_sync_am,4863,-2.18%,
Composite,on_cd_am_trink_vf,4863,-2.18%,
Composite,vf_sync_am_trink_pi,4863,-2.18%,
Composite,pi_sync_am_trink_pi_or_vf,4863,-2.18%,
Composite,on_cd_am_trink_pi_or_vf,4863,-2.18%,
Composite,vf_sync_hv_trink_pi,4863,-2.19%,
Composite,pi_sync_am_trink_vf,4863,-2.19%,
Composite,on_cd_am_trink_pi,4863,-2.19%,
Composite,Base_am,4863,-2.19%,
Composite,vf_sync_am_trink_vf,4862,-2.20%,
