profile,actor,DPS,increase,
Single,on_cd_hv,4656,0.01%,
Single,on_cd_hv_trink_pi_or_vf,4656,0.01%,
Single,Base,4656,0.00%,
Single,pi_sync_hv_trink_pi,4656,0.00%,
Single,on_cd_hv_trink_pi,4656,0.00%,
Single,pi_sync_hv_trink_pi_or_vf,4656,0.00%,
Single,on_cd_hv_trink_vf,4655,-0.02%,
Single,pi_sync_hv_trink_vf,4654,-0.03%,
Single,vf_sync_hv_trink_vf,4557,-2.12%,
Single,on_cd_am,4557,-2.12%,
Single,vf_sync_am_trink_pi_or_vf,4556,-2.13%,
Single,pi_sync_am_trink_pi,4556,-2.14%,
Single,vf_sync_am,4556,-2.14%,
Single,on_cd_am_trink_vf,4556,-2.14%,
Single,vf_sync_hv_trink_pi_or_vf,4556,-2.15%,
Single,on_cd_am_trink_pi_or_vf,4556,-2.15%,
Single,vf_sync_hv,4556,-2.15%,
Single,pi_sync_am_trink_pi_or_vf,4555,-2.16%,
Single,pi_sync_am_trink_vf,4555,-2.16%,
Single,vf_sync_am_trink_pi,4555,-2.16%,
Single,vf_sync_am_trink_vf,4555,-2.16%,
Single,on_cd_am_trink_pi,4555,-2.16%,
Single,Base_am,4555,-2.17%,
Single,vf_sync_hv_trink_pi,4555,-2.17%,
