profile,actor,DPS,increase,
Composite,Base,5122,0.00%,
Composite,on_cd_hv,5122,-0.01%,
Composite,pi_sync_hv_trink_pi_or_vf,5122,-0.01%,
Composite,on_cd_hv_trink_vf,5122,-0.01%,
Composite,on_cd_hv_trink_pi_or_vf,5122,-0.01%,
Composite,pi_sync_hv_trink_vf,5122,-0.01%,
Composite,pi_sync_hv_trink_pi,5122,-0.01%,
Composite,on_cd_hv_trink_pi,5122,-0.01%,
Composite,on_cd_am_trink_vf,5002,-2.35%,
Composite,on_cd_am,5002,-2.35%,
Composite,vf_sync_am_trink_vf,5002,-2.35%,
Composite,on_cd_am_trink_pi,5002,-2.35%,
Composite,vf_sync_am_trink_pi_or_vf,5002,-2.35%,
Composite,pi_sync_am_trink_vf,5002,-2.35%,
Composite,on_cd_am_trink_pi_or_vf,5002,-2.35%,
Composite,vf_sync_hv_trink_pi,5002,-2.35%,
Composite,vf_sync_am,5002,-2.36%,
Composite,Base_am,5002,-2.36%,
Composite,vf_sync_hv_trink_pi_or_vf,5002,-2.36%,
Composite,vf_sync_am_trink_pi,5002,-2.36%,
Composite,vf_sync_hv_trink_vf,5001,-2.36%,
Composite,vf_sync_hv,5001,-2.36%,
Composite,pi_sync_am_trink_pi_or_vf,5001,-2.37%,
Composite,pi_sync_am_trink_pi,5001,-2.37%,
