profile,actor,DPS,increase,
Single,Base,4795,0.00%,
Single,on_cd_hv_trink_vf,4795,0.00%,
Single,on_cd_hv_trink_pi_or_vf,4795,-0.01%,
Single,pi_sync_hv_trink_pi,4794,-0.01%,
Single,on_cd_hv_trink_pi,4794,-0.01%,
Single,on_cd_hv,4794,-0.02%,
Single,pi_sync_hv_trink_pi_or_vf,4794,-0.03%,
Single,pi_sync_hv_trink_vf,4794,-0.03%,
Single,on_cd_am_trink_pi,4683,-2.33%,
Single,on_cd_am_trink_pi_or_vf,4683,-2.34%,
Single,vf_sync_am_trink_pi_or_vf,4683,-2.34%,
Single,vf_sync_hv_trink_pi,4683,-2.34%,
Single,pi_sync_am_trink_vf,4683,-2.34%,
Single,on_cd_am,4683,-2.34%,
Single,vf_sync_am,4683,-2.35%,
Single,Base_am,4682,-2.35%,
Single,vf_sync_am_trink_vf,4682,-2.35%,
Single,on_cd_am_trink_vf,4682,-2.35%,
Single,vf_sync_hv_trink_pi_or_vf,4682,-2.35%,
Single,vf_sync_am_trink_pi,4682,-2.36%,
Single,pi_sync_am_trink_pi,4682,-2.37%,
Single,vf_sync_hv_trink_vf,4682,-2.37%,
Single,pi_sync_am_trink_pi_or_vf,4681,-2.37%,
Single,vf_sync_hv,4681,-2.37%,
