profile,actor,DPS,increase,
Composite,Kyrian-Pepegos-Let_Go_of_the_Past-Combat-Meditation_nova,7022,19.24%,
Composite,Kyrian-Pepegos-Let_Go_of_the_Past-Combat-Meditation,6985,18.61%,
Composite,Kyrian-Pepegos-Combat_Meditation_nova,6779,15.10%,
Composite,Kyrian-Pepegos-Let_Go_of_the_Past_nova,6777,15.08%,
Composite,Necrolord-Emeni-Lead_by_Example,6767,14.90%,
Composite,Kyrian-Pepegos-Combat_Meditation,6741,14.47%,
Composite,Kyrian-Pepegos-Let_Go_of_the_Past,6739,14.43%,
Composite,Night_Fae_Dreamweaver,6712,13.97%,
Composite,Night_Fae_Niya-Grove_Invigoration,6662,13.13%,
Composite,Venthyr-Theo-tan,6640,12.75%,
Composite,Venthyr-Nadjia-Thrill_Seeker,6638,12.72%,
Composite,Night_Fae-Korayn-Wild_Hunt_Tactics,6612,12.27%,
Composite,Kyrian-Kleia-Crit,6560,11.39%,
Composite,Venthyr-Theo-tan_Wasteland-Propriety,6457,9.65%,
Composite,Night_Fae_Niya-Grove_Invigoration-Burrs,6394,8.57%,
Composite,Base,5889,0.00%,
