profile,actor,DPS,increase,
Single,Kyrian-Pepegos-Let_Go_of_the_Past-Combat-Meditation,6616,20.24%,
Single,Kyrian-Pepegos-Combat_Meditation,6388,16.09%,
Single,Necrolord-Emeni-Lead_by_Example,6322,14.90%,
Single,Kyrian-Pepegos-Let_Go_of_the_Past,6318,14.82%,
Single,Night_Fae_Dreamweaver-apl2,6276,14.05%,
Single,Night_Fae_Niya-Grove_Invigoration-apl2,6251,13.59%,
Single,Night_Fae_Dreamweaver-apl,6244,13.47%,
Single,Night_Fae_Niya-Grove_Invigoration-apl,6240,13.40%,
Single,Venthyr-Theo-tan,6232,13.25%,
Single,Venthyr-Nadjia-Thrill_Seeker,6218,13.00%,
Single,Kyrian-Kleia-Crit,6204,12.73%,
Single,Night_Fae_Dreamweaver,6203,12.72%,
Single,Night_Fae-Korayn-Wild_Hunt_Tactics-apl2,6201,12.69%,
Single,Night_Fae_Niya-Grove_Invigoration,6197,12.61%,
Single,Night_Fae-Korayn-Wild_Hunt_Tactics,6194,12.56%,
Single,Venthyr-Theo-tan_Wasteland-Propriety,6110,11.04%,
Single,Night_Fae_Niya-Grove_Invigoration-Burrs,6001,9.05%,
Single,Base,5503,0.00%,
